current_path,target_path,reason,confidence,blockers
analyze_scripts.py,scripts/analyze_scripts.py,Executable tool/CLI script,0.9,
async_utils.py,src/utils/async_utils.py,Utility module,0.8,
async_utils_new.py,src/utils/async_utils_new.py,Utility module,0.8,
contract_factories.py,src/contract_factories.py,Default placement,0.5,
ib_client.py,src/ib_client.py,Default placement,0.5,
ib_requests.py,src/ib_requests.py,Default placement,0.5,
pandas_helpers.py,src/utils/pandas_helpers.py,Utility module,0.8,
project_types.py,src/project_types.py,Default placement,0.5,
quick_start.py,src/quick_start.py,Default placement,0.5,
run_trading_fully_automated.py,src/tools/run_trading_fully_automated.py,Tool module,0.7,internal_dependencies
scripts/demo_stock_split_integration.py,src/tools/demo_stock_split_integration.py,Tool module,0.7,
scripts/integration_examples.py,src/tools/integration_examples.py,Tool module,0.7,internal_dependencies
scripts/maintenance/architecture_demo.py,src/tools/architecture_demo.py,Tool module,0.7,internal_dependencies
scripts/maintenance/critical_issues_summary.py,src/tools/critical_issues_summary.py,Tool module,0.7,internal_dependencies
scripts/maintenance/final_success_report.py,src/tools/final_success_report.py,Tool module,0.7,
scripts/maintenance/migrate_excel_to_parquet.py,src/tools/migrate_excel_to_parquet.py,Tool module,0.7,internal_dependencies
scripts/maintenance/run_data_update.py,src/tools/run_data_update.py,Tool module,0.7,
scripts/maintenance/scan_data.py,src/tools/scan_data.py,Tool module,0.7,
scripts/maintenance/senior_architect_review.py,src/tools/senior_architect_review.py,Tool module,0.7,
scripts/maintenance/system_analysis.py,src/tools/system_analysis.py,Tool module,0.7,
scripts/maintenance/update_data.py,src/tools/update_data.py,Tool module,0.7,
scripts/migration_guide.py,src/tools/migration_guide.py,Tool module,0.7,internal_dependencies
scripts/phase2_progress_demo.py,src/tools/phase2_progress_demo.py,Tool module,0.7,internal_dependencies
scripts/quick_start.py,src/tools/quick_start.py,Tool module,0.7,
scripts/setup/fix_hardcoded_paths.py,src/tools/fix_hardcoded_paths.py,Tool module,0.7,
scripts/setup/setup_critical_fixes.py,src/tools/setup_critical_fixes.py,Tool module,0.7,internal_dependencies
scripts/verify_setup.py,src/tools/verify_setup.py,Tool module,0.7,
setup_automated_trading.py,src/setup_automated_trading.py,Default placement,0.5,internal_dependencies
setup_ib_gateway.py,src/setup_ib_gateway.py,Default placement,0.5,
src/Ib_Manual_Attempt.py,src/Ib_Manual_Attempt.py,Default placement,0.5,
src/MasterPy.py,src/MasterPy.py,Default placement,0.5,
src/MasterPy_Trading.py,src/MasterPy_Trading.py,Default placement,0.5,internal_dependencies
src/__init__.py,src/__init__.py,Default placement,0.5,
src/api.py,src/api.py,Default placement,0.5,
src/automation/headless_gateway.py,src/headless_gateway.py,Default placement,0.5,
src/core/__init__.py,src/__init__.py,Default placement,0.5,
src/core/config.py,src/config/config.py,Configuration module,0.8,
src/core/connection_pool.py,src/connection_pool.py,Default placement,0.5,internal_dependencies
src/core/dataframe_safety.py,src/data/dataframe_safety.py,Data processing,0.8,internal_dependencies
src/core/error_handler.py,src/error_handler.py,Default placement,0.5,
src/core/integrated_error_handling.py,src/integrated_error_handling.py,Default placement,0.5,internal_dependencies
src/core/modern_trading_core.py,src/modern_trading_core.py,Default placement,0.5,internal_dependencies
src/core/performance.py,src/performance.py,Default placement,0.5,internal_dependencies
src/core/retry_manager.py,src/retry_manager.py,Default placement,0.5,internal_dependencies
src/data/__init__.py,src/data/__init__.py,Data processing,0.8,
src/data/analyze_depth.py,src/tools/analyze_depth.py,Tool module,0.7,
src/data/data_manager.py,src/data/data_manager.py,Data processing,0.8,
src/data/parquet_repository.py,src/data/parquet_repository.py,Data processing,0.8,internal_dependencies
src/data/record_depth.py,src/tools/record_depth.py,Tool module,0.7,
src/domain/__init__.py,src/__init__.py,Default placement,0.5,
src/domain/interfaces.py,src/interfaces.py,Default placement,0.5,internal_dependencies
src/domain/ml_types.py,src/models/ml_types.py,ML/data model,0.8,
src/execution/__init__.py,src/__init__.py,Default placement,0.5,
src/execution/ml_signal_executor.py,src/models/ml_signal_executor.py,ML/data model,0.8,internal_dependencies
src/ib_Main.py,src/ib_Main.py,Default placement,0.5,
src/ib_Trader.py,src/ib_Trader.py,Default placement,0.5,
src/ib_Warror_dl.py,src/ib_Warror_dl.py,Default placement,0.5,
src/integrations/ml_data_integrity.py,src/models/ml_data_integrity.py,ML/data model,0.8,internal_dependencies
src/lib/__init__.py,src/__init__.py,Default placement,0.5,
src/lib/ib_async_wrapper.py,src/ib_async_wrapper.py,Default placement,0.5,
src/lib/ib_insync_compat.py,src/ib_insync_compat.py,Default placement,0.5,
src/migration_helper.py,src/utils/migration_helper.py,Utility module,0.8,
src/monitoring/__init__.py,src/__init__.py,Default placement,0.5,
src/monitoring/ml_performance_monitor.py,src/models/ml_performance_monitor.py,ML/data model,0.8,internal_dependencies
src/notifications.py,src/notifications.py,Default placement,0.5,
src/risk/__init__.py,src/__init__.py,Default placement,0.5,
src/risk/ml_risk_manager.py,src/models/ml_risk_manager.py,ML/data model,0.8,internal_dependencies
src/services/__init__.py,src/services/__init__.py,Service module,0.8,
src/services/bar_configuration_service.py,src/config/bar_configuration_service.py,Configuration module,0.8,internal_dependencies
src/services/contract_manager_service.py,src/services/contract_manager_service.py,Service module,0.8,internal_dependencies
src/services/data_management_service.py,src/data/data_management_service.py,Data processing,0.8,
src/services/data_persistence_service.py,src/data/data_persistence_service.py,Data processing,0.8,internal_dependencies
src/services/historical_data/__init__.py,src/data/__init__.py,Data processing,0.8,
src/services/historical_data/availability_checker.py,src/data/availability_checker.py,Data processing,0.8,internal_dependencies
src/services/historical_data/download_tracker.py,src/data/download_tracker.py,Data processing,0.8,internal_dependencies
src/services/historical_data/historical_data_service.py,src/data/historical_data_service.py,Data processing,0.8,internal_dependencies
src/services/historical_data/test_historical_service.py,tests/test_historical_service.py,Test file,0.95,internal_dependencies
src/services/historical_data_service.py,src/data/historical_data_service.py,Data processing,0.8,internal_dependencies
src/services/market_calendar_service.py,src/services/market_calendar_service.py,Service module,0.8,internal_dependencies
src/services/market_data/__init__.py,src/data/__init__.py,Data processing,0.8,
src/services/market_data/integration_example.py,src/data/integration_example.py,Data processing,0.8,internal_dependencies
src/services/market_data/market_data_service.py,src/data/market_data_service.py,Data processing,0.8,internal_dependencies
src/services/market_data/test_service.py,tests/test_service.py,Test file,0.95,internal_dependencies
src/services/market_data/types.py,src/data/types.py,Data processing,0.8,
src/services/market_data_service.py,src/data/market_data_service.py,Data processing,0.8,internal_dependencies
src/services/market_info_service.py,src/services/market_info_service.py,Service module,0.8,
src/services/ml_order_management_service.py,src/models/ml_order_management_service.py,ML/data model,0.8,internal_dependencies
src/services/order_management_service.py,src/services/order_management_service.py,Service module,0.8,internal_dependencies
src/services/path_service.py,src/services/path_service.py,Service module,0.8,
src/services/request_manager_service.py,src/services/request_manager_service.py,Service module,0.8,internal_dependencies
src/services/service_manager.py,src/services/service_manager.py,Service module,0.8,internal_dependencies
src/services/stock_split_detection_service.py,src/services/stock_split_detection_service.py,Service module,0.8,internal_dependencies
src/types/__init__.py,src/__init__.py,Default placement,0.5,
src/utils/data_utils.py,src/utils/data_utils.py,Utility module,0.8,
src/utils/exit_handler.py,src/utils/exit_handler.py,Utility module,0.8,
system_check_analysis.py,src/system_check_analysis.py,Default placement,0.5,
test_ib_async_stubs.py,tests/test_ib_async_stubs.py,Test file,0.95,
test_ml_imports.py,tests/test_ml_imports.py,Test file,0.95,
validate_ml_structure.py,src/models/validate_ml_structure.py,ML/data model,0.8,
